RRT,DPS21003,DPS21004,DPS21005,DPS21006,DPS21007,DPS21008,DPS21009,DPS21010,DPS21011,DPS21012,DPS21013,DPS21014,DPS21015,DPS21016,DPS21017,DPS21018,DPS21019,DPS21020,DPS21021,DPS21022,DPS22001,DPS22002,DPS22003,DPS22004,DPS22005,DPS22006,DPS22007,DPS22008,DPS22009,DPS22010,DPS22011,DPS22012,DPS22013,DPS22014,DPS22015,DPS22016,DPS22017,DPS22018,DPS22019,DPS22413
2.24,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.02,,,,,,0.01,0.01,,,,,,
2.25,0.01,,0.00,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,,,,,,,,,,,,,,0.01
2.26,0.02,,,,,,,,,,,,0.01,0.01,,,,,,,,,0.01,,,,,,,,,0.01,,,0.01,0.01,,,,
2.27,,,0.02,0.01,,,,0.01,0.01,0.01,0.01,0.01,0.01,,,0.02,,,,,,,,,0.01,,,,,,0.04,,,,,,0.03,0.04,,
2.28,,,,,0.01,0.00,0.01,,,,,,,,0.02,0.03,0.01,0.01,,0.00,,,,0.01,,0.00,0.00,0.00,,0.04,0.04,,,,,,,,,
2.29,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.01,,,,,,,
2.30,,,,,,,,,,,,,,0.02,,,,,,,0.01,0.01,,,,,0.00,,,,,,0.03,0.02,,,,,,0.03
2.31,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,0.03,0.02,0.02,,,,,,,,,,,,,
2.32,0.00,,,,,,,,,,,,,,0.01,0.01,,,,,,,0.03,,,,,0.03,0.03,0.00,0.00,,,,,,,0.00,,
2.33,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
2.34,,,0.06,0.03,,,0.04,0.05,0.03,,,,0.03,,,,0.03,0.03,,,,,,0.02,,,,,,,,,,0.01,,,,,,
2.35,,0.03,0.06,,0.02,0.02,,,,0.03,0.03,0.02,0.03,,0.03,0.03,,,0.02,0.02,,,,0.02,,,,,0.04,,0.05,0.05,,,,,,0.04,0.02,0.00
2.36,,0.02,,,,,,,,,,,0.00,0.00,,,,,0.02,,,,,,,,,,0.03,0.05,0.05,,0.04,,0.03,0.03,0.03,,,
2.37,,,,,,,0.00,,0.00,,,0.00,,,,,0.01,0.01,,,0.02,0.03,,,,,,,,,,,0.04,0.02,,,,0.02,,
2.38,,,,,0.00,0.00,,,,,,,,,0.02,0.02,0.01,,0.00,,,,,0.00,,0.01,0.01,0.01,0.02,,0.03,,,,,,0.02,0.02,,0.04
2.39,,,,,,,,,,,,,,0.03,,,,,,,,,0.03,0.00,,,,,0.02,0.03,0.03,0.05,0.03,,,,,,,
2.40,0.02,,0.03,0.03,,,,0.04,0.03,0.03,0.02,0.02,0.02,,,,,,,,,,,,0.04,,0.01,,,,,,0.03,0.02,,,,,,0.02
2.41,,,,,,,0.05,0.04,,,,,,,,,0.05,0.05,0.00,0.01,,,,0.05,,0.05,0.06,0.05,,,,,,,,,,,,
2.42,,0.03,,,0.03,0.02,,,,,,,,0.02,,,,,0.01,0.01,,,0.03,0.05,,,,0.05,,,,0.03,,,,,,,,
2.43,,,0.04,0.02,,,,,0.02,0.02,0.02,0.02,0.02,,,,,,,,0.03,0.03,,,0.03,,,,,,,0.03,,,,0.00,,,,
2.44,,,,,,0.02,0.03,0.03,,,,,,,,,0.04,0.03,,,,,,,,0.03,0.04,,,,,,,,0.01,0.00,,,,
2.45,,0.02,,,0.02,0.02,0.00,,,,,,,,,,,,0.03,0.03,,,,0.04,,,,0.03,,,,,,,,,,,,
2.46,0.02,,,,,,0.02,0.01,,,,,,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,,,,
2.47,,,,,,,,,,,,,,,,,,,,,0.03,0.03,,,,,0.03,0.00,,,,,,,0.02,0.02,,,,
2.48,,,,,,,0.00,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,
2.49,0.02,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.01,0.01,,,,
2.50,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,
2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
