Sample Base Name,RRT,% Area
DPS21006,0.3509819021948402,0.0014
DPS21006,0.35142417244033874,0.0014
DPS21006,0.376916661320331,0.0008
DPS21006,0.3777906081601232,0.0008
DPS21006,0.3778077268643306,0.0009
DPS21006,0.4786374133949192,0.0301
DPS21006,0.47866812086995575,0.0297
DPS21006,0.47869336413810804,0.0303
DPS21006,0.5051963048498845,0.0157
DPS21006,0.5052928722653494,0.0158
DPS21006,0.5053266589654729,0.0159
DPS21006,0.6431229150628689,0.0098
DPS21006,0.6431780259273521,0.0093
DPS21006,0.6433566433566434,0.0092
DPS21006,0.6886707723890172,0.0042
DPS21006,0.6984666709437352,0.0042
DPS21006,0.6990758567577975,0.0037
DPS21006,0.7731588401334359,0.0026
DPS21006,0.7734565524322936,0.0027
DPS21006,0.7735933790979662,0.0034
DPS21006,0.8226800154023873,0.0108
DPS21006,0.8229407236335643,0.0109
DPS21006,0.8233143003785206,0.0109
DPS21006,0.8589299461123941,0.0088
DPS21006,0.8592606854062379,0.0088
DPS21006,0.8594341438378136,0.009
DPS21006,0.9124967924044137,0.0014
DPS21006,0.9130685827933535,0.0021
DPS21006,0.9145809267103067,0.0012
DPS21006,1.0,99.33319999999999
DPS21006,1.2044652595111311,0.0418
DPS21006,1.2046445984090326,0.0416
DPS21006,1.2056860480041072,0.0439
DPS21006,1.327067427984859,0.4159
DPS21006,1.3271105978958175,0.4215
DPS21006,1.3273007316134,0.4192
DPS21006,1.6991400333718392,0.0027
DPS21006,1.7025275853220427,0.0029
DPS21006,1.7068711105408354,0.0025
DPS21006,2.205735180908391,0.0181
DPS21006,2.2064540963623536,0.0175
DPS21006,2.20716211012707,0.0183
DPS21006,2.268283294842186,0.006
DPS21006,2.2687495990248285,0.0057
DPS21006,2.2694134257476577,0.0063
DPS21006,2.3431485758275596,0.0221
DPS21006,2.3436196830692246,0.0219
DPS21006,2.344820947246823,0.059
DPS21006,2.3995381062355663,0.0265
DPS21006,2.4000769872329504,0.0269
DPS21006,2.400911307919394,0.0274
DPS21006,2.4290479856299716,0.0179
DPS21006,2.429588759863989,0.0184
DPS21006,2.430432550378642,0.0175
DPS21007,0.22071285335403326,0.0082
DPS21007,0.22082794307891332,0.0079
DPS21007,0.22083548887739265,0.0079
DPS21007,0.34020951888256595,0.0021
DPS21007,0.34031955495180805,0.0023
DPS21007,0.3403622250970245,0.002
DPS21007,0.3522639068564036,0.0015
DPS21007,0.3523021210553544,0.0014
DPS21007,0.3526101300213468,0.0017
DPS21007,0.37904269081500647,0.0012
DPS21007,0.3794619762027936,0.0008
