Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS22012-2,2,14.259,351,20,0.0033,10612557,BB
DPS22012-2,72,15.636,10533633,265682,99.2563,10612557,BS
DPS22012-2,11,17.906,1865,56,0.0176,10612557,SV
DPS22012-2,12,18.949,1093,36,0.0103,10612557,VB
DPS22012-2,1,20.771,49884,1938,0.4700,10612557,BB
DPS22012-2,14,26.587,305,11,0.0029,10612557,BB
DPS22012-2,15,34.408,2118,162,0.0200,10612557,BB
DPS22012-2,16,35.359,725,63,0.0068,10612557,BB
DPS22012-2,17,36.771,4959,221,0.0467,10612557,BB
DPS22012-2,18,37.435,5077,513,0.0478,10612557,BB
DPS22012-2,19,37.920,3277,337,0.0309,10612557,BB
DPS22012-3,1,5.278,454,26,0.0043,10533320,BB
DPS22012-3,2,7.496,3390,182,0.0322,10533320,BV
DPS22012-3,3,7.917,1389,124,0.0132,10533320,VB
DPS22012-3,4,10.086,821,57,0.0078,10533320,BB
DPS22012-3,5,10.970,667,25,0.0063,10533320,BB
DPS22012-3,6,12.117,578,38,0.0055,10533320,BV
DPS22012-3,3,12.911,1059,42,0.0100,10533320,VV
DPS22012-3,8,13.489,857,41,0.0081,10533320,VV
DPS22012-3,2,14.263,370,20,0.0035,10533320,VB
DPS22012-3,72,15.643,10454984,265005,99.2563,10533320,BS
DPS22012-3,11,17.896,2093,59,0.0199,10533320,SV
DPS22012-3,12,18.980,941,33,0.0089,10533320,VB
DPS22012-3,1,20.776,49552,1926,0.4704,10533320,BB
DPS22012-3,14,26.564,407,13,0.0039,10533320,BB
DPS22012-3,15,34.417,1950,157,0.0185,10533320,BB
DPS22012-3,16,35.368,711,61,0.0067,10533320,BB
DPS22012-3,17,36.772,4883,222,0.0464,10533320,BB
DPS22012-3,18,37.445,4932,503,0.0468,10533320,BB
DPS22012-3,19,37.930,3282,337,0.0312,10533320,BB
DPS22013-1,1,5.330,357,24,0.0037,9708576,BB
DPS22013-1,21,37.865,2481,267,0.0256,9708576,BB
DPS22013-1,2,7.531,1700,170,0.0175,9708576,BV
DPS22013-1,3,7.728,1712,165,0.0176,9708576,VV
DPS22013-1,4,7.962,1503,135,0.0155,9708576,VB
DPS22013-1,5,10.164,611,45,0.0063,9708576,BB
DPS22013-1,6,11.042,666,23,0.0069,9708576,BB
DPS22013-1,7,12.200,594,35,0.0061,9708576,BV
DPS22013-1,3,13.014,1489,58,0.0153,9708576,VV
DPS22013-1,9,13.602,917,44,0.0094,9708576,VV
DPS22013-1,2,14.263,338,18,0.0035,9708576,VB
DPS22013-1,72,15.845,9643955,254186,99.3344,9708576,BV
DPS22013-1,12,19.131,2169,61,0.0223,9708576,VV
DPS22013-1,13,20.022,1455,48,0.0150,9708576,VV
DPS22013-1,1,20.931,39629,1571,0.4082,9708576,VV
DPS22013-1,15,26.604,259,9,0.0027,9708576,BB
DPS22013-1,16,31.759,490,41,0.0050,9708576,BB
DPS22013-1,17,34.426,1996,139,0.0206,9708576,BB
DPS22013-1,18,35.356,734,60,0.0076,9708576,BB
DPS22013-1,19,36.325,1361,63,0.0140,9708576,BB
DPS22013-1,20,37.395,4158,423,0.0428,9708576,BB
DPS22013-2,1,5.329,695,30,0.0066,10509288,BB
DPS22013-2,21,37.869,2745,291,0.0261,10509288,BB
DPS22013-2,2,7.532,1830,184,0.0174,10509288,BV
DPS22013-2,3,7.728,1831,175,0.0174,10509288,VV
DPS22013-2,4,7.962,1638,146,0.0156,10509288,VB
DPS22013-2,5,10.158,696,49,0.0066,10509288,BB
DPS22013-2,6,10.872,678,24,0.0065,10509288,BB
DPS22013-2,7,12.197,605,39,0.0058,10509288,BB
DPS22013-2,3,13.008,1552,62,0.0148,10509288,BV
DPS22013-2,9,13.602,1087,50,0.0103,10509288,VV
DPS22013-2,2,14.264,468,20,0.0045,10509288,VB
DPS22013-2,72,15.808,10434633,267688,99.2896,10509288,BV
DPS22013-2,12,19.123,2233,63,0.0212,10509288,VV
DPS22013-2,13,20.017,1522,52,0.0145,10509288,VV
DPS22013-2,1,20.931,42960,1691,0.4088,10509288,VB
DPS22013-2,15,26.638,289,10,0.0028,10509288,BB
DPS22013-2,16,31.774,606,50,0.0058,10509288,BB
DPS22013-2,17,34.546,4664,296,0.0444,10509288,BB
DPS22013-2,18,35.361,767,64,0.0073,10509288,BB
DPS22013-2,19,36.327,3333,149,0.0317,10509288,BB
DPS22013-2,20,37.399,4454,457,0.0424,10509288,BB
DPS22013-3,1,5.334,423,26,0.0040,10480072,BB
DPS22013-3,21,37.871,2738,291,0.0261,10480072,BB
DPS22013-3,2,7.536,1757,181,0.0168,10480072,BV
DPS22013-3,3,7.736,1883,172,0.0180,10480072,VV
DPS22013-3,4,7.970,1566,145,0.0149,10480072,VB
DPS22013-3,5,10.176,680,49,0.0065,10480072,BB
